4556872.wav, angry,angry,fearful,neutral,happy,surprised,sad
4548024.wav, angry,angry,neutral,fearful,happy,sad,surprised
4557220.wav, neutral,neutral,angry,happy,fearful,sad,surprised
4615360.wav, neutral,neutral,angry,happy,fearful,surprised,sad
4558935.wav, neutral,neutral,angry,fearful,happy,sad,surprised
4538479.wav, angry,angry,fearful,neutral,happy,surprised,sad
4556985.wav, angry,angry,neutral,happy,fearful,sad,surprised
4611196.wav, angry,angry,neutral,fearful,happy,surprised,sad
4563858.wav, angry,angry,neutral,happy,fearful,sad,surprised
4627136.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4601109.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4604448.wav, angry,angry,fearful,neutral,happy,surprised,sad
4611170.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4678282.wav, angry,angry,neutral,fearful,happy,sad,surprised
4611681.wav, angry,angry,fearful,neutral,happy,sad,surprised
4538807.wav, angry,angry,fearful,happy,neutral,surprised,sad
3981803.wav, angry,angry,neutral,fearful,happy,sad,surprised
4549873.wav, angry,angry,neutral,fearful,happy,surprised,sad
4611166.wav, neutral,neutral,angry,fearful,happy,sad,surprised
4548851.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4602258.wav, neutral,neutral,angry,fearful,happy,sad,surprised
4527615.wav, neutral,neutral,angry,happy,fearful,sad,surprised
4528104.wav, angry,angry,neutral,fearful,happy,surprised,sad
4681961.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4543166.wav, angry,angry,fearful,neutral,happy,sad,surprised
4539311.wav, angry,angry,fearful,neutral,happy,surprised,sad
4549587.wav, angry,angry,fearful,neutral,happy,sad,surprised
4604460.wav, neutral,neutral,angry,happy,fearful,sad,surprised
4540170.wav, angry,angry,fearful,happy,neutral,surprised,sad
4558245.wav, angry,angry,fearful,happy,neutral,surprised,sad
4527627.wav, angry,angry,neutral,happy,fearful,sad,surprised
4539191.wav, neutral,neutral,angry,happy,fearful,surprised,sad
4549612.wav, angry,angry,neutral,fearful,happy,surprised,sad
4615315.wav, angry,angry,neutral,fearful,happy,surprised,sad
4556980.wav, neutral,neutral,angry,fearful,happy,surprised,sad
4548868.wav, angry,angry,fearful,neutral,happy,surprised,sad
4557108.wav, angry,angry,fearful,neutral,happy,surprised,sad
4740140.wav, angry,angry,fearful,neutral,happy,surprised,sad
4627330.wav, angry,angry,fearful,neutral,happy,surprised,sad
4540173.wav, angry,angry,neutral,fearful,happy,sad,surprised
4539186.wav, angry,angry,fearful,happy,neutral,surprised,sad
4549825.wav, angry,angry,fearful,neutral,happy,surprised,sad
4557174.wav, angry,angry,neutral,fearful,happy,surprised,sad
4567568.wav, angry,angry,fearful,neutral,happy,surprised,sad
4602160.wav, neutral,neutral,angry,fearful,happy,surprised,sad
4550627.wav, angry,angry,neutral,happy,fearful,sad,surprised
4538817.wav, angry,angry,neutral,fearful,happy,sad,surprised
4608228.wav, angry,angry,fearful,neutral,happy,surprised,sad
4611687.wav, angry,angry,neutral,fearful,happy,surprised,sad
4611193.wav, neutral,neutral,fearful,angry,happy,surprised,sad
4611168.wav, angry,angry,fearful,neutral,happy,sad,surprised
4604441.wav, angry,angry,neutral,fearful,happy,sad,surprised
4539154.wav, fearful,fearful,angry,neutral,happy,surprised,sad
4559183.wav, neutral,neutral,fearful,angry,happy,sad,surprised
4611186.wav, neutral,neutral,angry,fearful,happy,surprised,sad
4557172.wav, angry,angry,fearful,neutral,happy,surprised,sad
4567440.wav, angry,angry,neutral,happy,fearful,sad,surprised
4678260.wav, fearful,fearful,happy,angry,neutral,surprised,sad
4616841.wav, neutral,neutral,angry,happy,fearful,sad,surprised
4611200.wav, happy,happy,neutral,angry,fearful,sad,surprised
4614381.wav, angry,angry,happy,neutral,fearful,sad,surprised
4527656.wav, neutral,neutral,angry,fearful,happy,surprised,sad
4740040.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4527602.wav, angry,angry,neutral,happy,fearful,sad,surprised
4608275.wav, angry,angry,neutral,fearful,happy,sad,surprised
4601467.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4540177.wav, angry,angry,neutral,happy,fearful,sad,surprised
4550806.wav, angry,angry,neutral,fearful,happy,sad,surprised
4527780.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4624562.wav, fearful,fearful,angry,happy,neutral,surprised,sad
4563844.wav, angry,angry,neutral,fearful,happy,sad,surprised
4559290.wav, angry,angry,fearful,neutral,happy,surprised,sad
4557029.wav, fearful,fearful,angry,neutral,happy,surprised,sad
4548013.wav, neutral,neutral,fearful,angry,happy,sad,surprised
4556868.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4624558.wav, neutral,neutral,fearful,angry,happy,sad,surprised
4527484.wav, angry,angry,neutral,fearful,happy,surprised,sad
4611197.wav, angry,angry,neutral,happy,fearful,sad,surprised
4611165.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4556997.wav, angry,angry,neutral,fearful,happy,sad,surprised
4539195.wav, angry,angry,neutral,happy,fearful,sad,surprised
4626750.wav, angry,angry,fearful,neutral,happy,surprised,sad
4607325.wav, angry,angry,fearful,neutral,happy,surprised,sad
4556999.wav, angry,angry,neutral,fearful,happy,sad,surprised
4549576.wav, angry,angry,fearful,neutral,happy,surprised,sad
4681887.wav, neutral,neutral,angry,fearful,happy,sad,surprised
4601492.wav, neutral,neutral,angry,fearful,happy,surprised,sad
4549860.wav, angry,angry,neutral,happy,fearful,surprised,sad
4601101.wav, neutral,neutral,angry,happy,fearful,sad,surprised
4551038.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4527674.wav, neutral,neutral,angry,happy,fearful,surprised,sad
4547015.wav, angry,angry,fearful,happy,neutral,surprised,sad
4550668.wav, angry,angry,fearful,neutral,happy,sad,surprised
4611169.wav, angry,angry,neutral,fearful,happy,surprised,sad
4548039.wav, angry,angry,fearful,neutral,happy,surprised,sad
4611682.wav, fearful,fearful,angry,neutral,happy,surprised,sad
4608299.wav, neutral,neutral,happy,angry,fearful,sad,surprised
4604444.wav, angry,angry,fearful,happy,neutral,surprised,sad
4765208.wav, neutral,neutral,angry,happy,fearful,sad,surprised
4567671.wav, happy,happy,neutral,angry,fearful,surprised,sad
