F21H08.wav, neutral,neutral,angry,sad,happy 
M12N80.wav, neutral,neutral,angry,happy,sad 
F01N07.wav, sad,sad,neutral,angry,happy 
F07S16.wav, sad,sad,angry,neutral,happy 
M53A11.wav, sad,sad,angry,neutral,happy 
F03S05.wav, sad,sad,neutral,happy,angry 
M04N21.wav, angry,angry,neutral,sad,happy 
M25N07.wav, sad,sad,neutral,angry,happy 
F21A29.wav, sad,sad,angry,neutral,happy 
M25N15.wav, sad,sad,angry,neutral,happy 
F03A06.wav, sad,sad,happy,angry,neutral 
M04N62.wav, neutral,neutral,happy,sad,angry 
F20H01.wav, happy,happy,angry,sad,neutral 
M03A04.wav, happy,happy,angry,neutral,sad 
M17N02.wav, happy,happy,angry,sad,neutral 
F22H04.wav, neutral,neutral,angry,happy,sad 
M04N14.wav, sad,sad,angry,neutral,happy 
F01S21.wav, sad,sad,angry,neutral,happy 
M26A37.wav, happy,happy,angry,neutral,sad 
M26A40.wav, sad,sad,neutral,angry,happy 
M03N05.wav, neutral,neutral,angry,happy,sad 
F09N02.wav, angry,angry,happy,neutral,sad 
M53A07.wav, happy,happy,angry,sad,neutral 
F24H01.wav, neutral,neutral,happy,angry,sad 
F03S03.wav, happy,happy,angry,neutral,sad 
F21A45.wav, happy,happy,angry,sad,neutral 
F06S09.wav, happy,happy,neutral,sad,angry 
F24N08.wav, sad,sad,angry,happy,neutral 
F21A05.wav, happy,happy,sad,neutral,angry 
M16A07.wav, sad,sad,neutral,happy,angry 
F05N32.wav, neutral,neutral,sad,angry,happy 
F23H03.wav, sad,sad,angry,happy,neutral 
M22N18.wav, angry,angry,happy,neutral,sad 
M32N03.wav, sad,sad,angry,neutral,happy 
M28N22.wav, sad,sad,neutral,happy,angry 
M28N07.wav, sad,sad,neutral,angry,happy 
M17N08.wav, sad,sad,angry,neutral,happy 
F13A23.wav, sad,sad,angry,happy,neutral 
M06N01.wav, sad,sad,neutral,angry,happy 
M25A44.wav, sad,sad,happy,neutral,angry 
F06H06.wav, angry,angry,neutral,sad,happy 
F11N07.wav, sad,sad,angry,neutral,happy 
M05N08.wav, sad,sad,angry,happy,neutral 
M02N10.wav, sad,sad,neutral,angry,happy 
M03A21.wav, happy,happy,angry,neutral,sad 
F10A56.wav, sad,sad,angry,neutral,happy 
M22S02.wav, neutral,neutral,angry,happy,sad 
F02N02.wav, sad,sad,angry,neutral,happy 
F02A03.wav, sad,sad,angry,neutral,happy 
F14N02.wav, neutral,neutral,angry,happy,sad 
F24H18.wav, sad,sad,happy,angry,neutral 
M02N02.wav, sad,sad,angry,neutral,happy 
F03S07.wav, sad,sad,angry,neutral,happy 
F01H07.wav, neutral,neutral,sad,angry,happy 
M09A08.wav, sad,sad,neutral,happy,angry 
F26N03.wav, sad,sad,neutral,angry,happy 
M28S16.wav, neutral,neutral,angry,sad,happy 
F24A25.wav, sad,sad,happy,neutral,angry 
M25A40.wav, happy,happy,sad,neutral,angry 
M09A05.wav, sad,sad,neutral,angry,happy 
F24H07.wav, sad,sad,angry,happy,neutral 
M05S15.wav, sad,sad,angry,neutral,happy 
